DATETIME,FOM,ID,DISCUSSION
2018-02-12/17:37:43 - 2018-02-12/17:38:33, 125.0, eeriksson(EVA),  Low shear full MP
2018-02-12/17:38:33 - 2018-02-12/17:39:03, 125.0, eeriksson(EVA), Fill
2018-02-12/17:39:03 - 2018-02-12/17:39:53, 125.0, eeriksson(EVA),  Low shear MP
2018-02-12/17:39:53 - 2018-02-12/17:43:13,  45.0, eeriksson(EVA),  BL
2018-02-12/17:43:13 - 2018-02-12/17:44:23,  60.0, eeriksson(EVA),  Partial BL Crossing
2018-02-12/17:45:23 - 2018-02-12/17:46:23,  45.0, eeriksson(EVA),  Partial BL crossing
2018-02-12/17:48:53 - 2018-02-12/17:51:23,  45.0, eeriksson(EVA),  MSH mirror modes
2018-02-12/17:51:23 - 2018-02-12/17:53:43,  45.0, eeriksson(EVA),  MSH mirror modes
2018-02-12/17:53:43 - 2018-02-12/17:56:13,  45.0, eeriksson(EVA),  MSH mirror modes
2018-02-12/18:13:13 - 2018-02-12/18:15:23,  55.0, eeriksson(EVA),  MSH CS
2018-02-12/18:17:23 - 2018-02-12/18:20:23,  50.0, eeriksson(EVA),  MSH CS
2018-02-12/19:54:23 - 2018-02-12/19:55:03, 120.0, eeriksson(EVA),  MSH CS
2018-02-12/19:55:13 - 2018-02-12/19:55:43, 100.0, eeriksson(EVA),  MSH CS
2018-02-12/20:00:13 - 2018-02-12/20:02:03,  80.0, eeriksson(EVA),  Qperp BS
2018-02-12/20:02:03 - 2018-02-12/20:04:03,  80.0, eeriksson(EVA),  Qperp BS
2018-02-12/20:53:23 - 2018-02-12/20:53:53,  95.0, eeriksson(EVA),  SW CS (Bx)
2018-02-12/21:14:23 - 2018-02-12/21:15:03, 100.0, eeriksson(EVA),  SW CS (By)
2018-02-12/21:19:43 - 2018-02-12/21:20:13, 120.0, eeriksson(EVA),  SW CS (By)
2018-02-12/21:24:03 - 2018-02-12/21:25:03,  55.0, eeriksson(EVA), SW CS
