DATETIME,FOM,ID,DISCUSSION
2016-08-31/19:32:04 - 2016-08-31/19:34:24, 30.0, lavanov(EVA), Weak dipolariztion front
2016-08-31/19:34:24 - 2016-08-31/19:36:44, 30.0, lavanov(EVA), Weak dipolariztion front
2016-08-31/19:36:44 - 2016-08-31/19:39:14, 30.0, lavanov(EVA), Weak dipolariztion front
2016-08-31/19:39:14 - 2016-08-31/19:41:34, 30.0, lavanov(EVA), Weak dipolariztion front
2016-08-31/19:41:34 - 2016-08-31/19:44:04, 30.0, lavanov(EVA), Weak dipolariztion front
2016-08-31/20:09:44 - 2016-08-31/20:11:24, 40.0, lavanov(EVA)," Dipolarization front, VX +250/-150 "
2016-08-31/20:11:24 - 2016-08-31/20:13:14, 40.0, lavanov(EVA)," Dipolarization front, VX +250/-150 "
2016-08-31/21:18:04 - 2016-08-31/21:21:54, 25.0, lavanov(EVA),  Boundary crossing
2016-08-31/23:51:14 - 2016-08-31/23:53:04, 35.0, lavanov(EVA)," Boundary crosising, number density increase "
2016-08-31/23:53:04 - 2016-08-31/23:55:04, 35.0, lavanov(EVA)," Boundary crosising, number density increase "
2016-08-31/23:55:04 - 2016-08-31/23:56:54, 35.0, lavanov(EVA)," Boundary crosising, number density increase "
2016-08-31/23:56:54 - 2016-08-31/23:58:54, 35.0, lavanov(EVA)," Boundary crosising, number density increase "
2016-09-01/02:06:04 - 2016-09-01/02:08:24, 40.0, lavanov(EVA)," Dipolarization front, VX -200/+300 "
2016-09-01/02:08:24 - 2016-09-01/02:10:44, 40.0, lavanov(EVA)," Dipolarization front, VX -200/+300 "
2016-09-01/02:10:44 - 2016-09-01/02:13:04, 40.0, lavanov(EVA)," Dipolarization front, VX -200/+300 "
2016-09-01/02:13:04 - 2016-09-01/02:15:34, 40.0, lavanov(EVA)," Dipolarization front, VX -200/+300 "
2016-09-01/02:15:34 - 2016-09-01/02:17:54, 40.0, lavanov(EVA)," Dipolarization front, VX -200/+300 "
2016-09-01/02:17:54 - 2016-09-01/02:20:14, 40.0, lavanov(EVA)," Dipolarization front, VX -200/+300 "
2016-09-01/02:48:04 - 2016-09-01/02:50:14, 30.0, lavanov(EVA), Dipolarization front
2016-09-01/02:50:14 - 2016-09-01/02:52:34, 30.0, lavanov(EVA), Dipolarization front
2016-09-01/04:41:24 - 2016-09-01/04:43:14, 30.0, lavanov(EVA),  Dipolarzition front
2016-09-01/04:43:14 - 2016-09-01/04:45:14, 30.0, lavanov(EVA),  Dipolarzition front
