DATETIME,FOM,ID,DISCUSSION
2017-10-29/08:30:03 - 2017-10-29/08:33:03,  70.0, lavanov(EVA),"  Periodic structure in the sowlar wind, ion heating."
2017-10-29/08:33:03 - 2017-10-29/08:36:03,  70.0, lavanov(EVA),"  Periodic structure in the sowlar wind, ion heating."
2017-10-29/09:28:53 - 2017-10-29/09:31:13, 100.0, lavanov(EVA),"  Current sheet embeded in the solar wind, field rotation (Bz reversal) significant ion heating"
2017-10-29/09:31:13 - 2017-10-29/09:32:13,  70.0, lavanov(EVA), Fill between the two CS in sthe solar wind  
2017-10-29/09:32:13 - 2017-10-29/09:33:13, 100.0, lavanov(EVA),"  Solar CS ion heating, Bz reversal"
2017-10-29/11:41:03 - 2017-10-29/11:41:53,  70.0, lavanov(EVA),"  Solar wind CS, strong fiedl rotation, enhanced current"
2017-10-29/14:22:13 - 2017-10-29/14:22:43,  80.0, lavanov(EVA)," Solar wind CS low frequency iscillations, accopmapined by increase current increase "
2017-10-29/14:24:23 - 2017-10-29/14:27:33,  80.0, lavanov(EVA), Periodic structure in the solar wind
2017-10-29/14:43:43 - 2017-10-29/14:44:43,  80.0, lavanov(EVA),"  Current sheet in the solar wind, strong field rotation"
2017-10-29/19:13:13 - 2017-10-29/19:17:33,  70.0, lavanov(EVA)," Periodic magnetic field variations, some ion heating "
2017-10-30/04:24:03 - 2017-10-30/04:26:23,  90.0, lavanov(EVA)," Q-perp bow shock, number density up to 60 on the MSheath side"
2017-10-30/04:38:03 - 2017-10-30/04:40:23,  90.0, lavanov(EVA), Q-perp bow shock 
2017-10-30/04:44:33 - 2017-10-30/04:46:33,  90.0, lavanov(EVA), Q-perp bow shock 
2017-10-30/05:08:13 - 2017-10-30/05:10:33,  80.0, lavanov(EVA)," Q-perp bow shock, enhanced nuber density in t he sheath, ion dispersion "
2017-10-30/05:20:13 - 2017-10-30/05:21:13, 100.0, lavanov(EVA)," Strong CS in the solar wind, Bz reversal "
2017-10-30/05:30:43 - 2017-10-30/05:33:23,  90.0, lavanov(EVA),  Q-perp bow shock 
2017-10-30/05:44:03 - 2017-10-30/05:48:13,  95.0, lavanov(EVA)," Qpar bow shock with strong magnetic field oscillations, possible overlapping with HFA at exit to the solar wind "
2017-10-30/06:08:23 - 2017-10-30/06:11:23, 110.0, lavanov(EVA), Qperp bow shock ion dispersion 
2017-10-30/08:29:13 - 2017-10-30/08:30:53,  70.0, lavanov(EVA)," Periodic bow shock crossings, with possible HFA "
2017-10-30/08:34:03 - 2017-10-30/08:35:03, 110.0, lavanov(EVA), Bow shock crossing withstarnge Bz reversal 
2017-10-30/08:46:53 - 2017-10-30/08:48:13,  90.0, lavanov(EVA), Periodic structure in the magnetosheath 
2017-10-30/08:48:13 - 2017-10-30/08:49:33,  90.0, lavanov(EVA), Periodic structure in the magnetosheath 
2017-10-30/09:10:33 - 2017-10-30/09:12:33,  80.0, lavanov(EVA), Interesting bow shock like event with ion dispersion 
2017-10-30/10:03:33 - 2017-10-30/10:05:33, 110.0, lavanov(EVA)," MSheath CS, Bz reversal "
2017-10-30/12:42:13 - 2017-10-30/12:47:03,  70.0, lavanov(EVA), Oscilating magnetosheath 
2017-10-30/18:35:03 - 2017-10-30/18:37:13, 140.0, lavanov(EVA)," Reconnection event in the magnetosheath, B field rotation and Vz reversal  "
2017-10-30/18:37:13 - 2017-10-30/18:39:33, 140.0, lavanov(EVA)," Reconnection event in the magnetosheath, B field rotation and Vz reversal  "
2017-10-30/18:51:13 - 2017-10-30/18:53:33, 140.0, lavanov(EVA)," CS, BZ reversal"
2017-10-30/18:53:33 - 2017-10-30/18:55:53, 140.0, lavanov(EVA)," CS, BZ reversal"
2017-10-30/18:57:23 - 2017-10-30/19:01:23,  80.0, lavanov(EVA),  MSH current sheet
2017-10-30/19:03:13 - 2017-10-30/19:05:33, 140.0, lavanov(EVA), KHI waves (in and out MSH/MSP)
2017-10-30/19:05:33 - 2017-10-30/19:08:03, 140.0, lavanov(EVA), KHI waves (in and out MSH/MSP)
2017-10-30/19:08:03 - 2017-10-30/19:10:03, 110.0, lavanov(EVA),  Two partial MP crossings
2017-10-30/19:10:03 - 2017-10-30/19:10:53, 110.0, lavanov(EVA), Low shear MP crossing 
2017-10-30/19:10:53 - 2017-10-30/19:12:33, 100.0, lavanov(EVA), Periodic low shear magnetopause crossings 
2017-10-30/19:12:33 - 2017-10-30/19:14:13, 100.0, lavanov(EVA), Periodic low shear magnetopause crossings 
2017-10-30/19:14:13 - 2017-10-30/19:16:03, 100.0, lavanov(EVA), Periodic low shear magnetopause crossings 
2017-10-30/19:16:03 - 2017-10-30/19:17:33, 110.0, lavanov(EVA), Partial MP crossings with Vz reversal
2017-10-30/19:17:33 - 2017-10-30/19:19:03, 110.0, lavanov(EVA), Partial MP crossings with Vz reversal
2017-10-30/19:19:03 - 2017-10-30/19:20:33, 130.0, lavanov(EVA), MP crossing with Vz reversal
2017-10-30/19:20:33 - 2017-10-30/19:22:23, 100.0, lavanov(EVA), Low shear MP crossings 
