DATETIME,FOM,ID,DISCUSSION
2019-03-30/03:22:53 - 2019-03-30/03:25:43, 120.0, lavanov(EVA), Partial MP 
2019-03-30/03:25:43 - 2019-03-30/03:29:23, 120.0, lavanov(EVA), Partial MP 
2019-03-30/03:45:43 - 2019-03-30/03:47:23, 150.0, lavanov(EVA), Two partial MP crossings with Vz reversal 
2019-03-30/05:13:43 - 2019-03-30/05:17:03, 120.0, lavanov(EVA), Two partial MPs  
2019-03-30/05:23:53 - 2019-03-30/05:26:33, 150.0, lavanov(EVA), Low shear MP 
2019-03-30/05:26:33 - 2019-03-30/05:29:23, 150.0, lavanov(EVA), Incomplete MP  
2019-03-30/05:29:23 - 2019-03-30/05:30:53, 150.0, lavanov(EVA),  Hoigh shear MP crossing with enhanced southward flow
2019-03-30/05:36:03 - 2019-03-30/05:37:13, 120.0, lavanov(EVA),  Partial MP with southward flow
2019-03-30/05:37:53 - 2019-03-30/05:39:43, 175.0, lavanov(EVA), Complete MP crossing 
2019-03-30/05:43:13 - 2019-03-30/05:45:53, 175.0, lavanov(EVA)," Complete MP crossing, B nulls,flow reversal "
2019-03-30/05:45:53 - 2019-03-30/05:47:33, 100.0, lavanov(EVA), Msheath  BL (fill the gap)
2019-03-30/05:47:33 - 2019-03-30/05:51:43, 150.0, lavanov(EVA), Complete MP crossing 
2019-03-30/05:52:03 - 2019-03-30/05:55:53, 120.0, lavanov(EVA), Partial MP/BL enecounter (?) 
2019-03-30/05:56:43 - 2019-03-30/06:00:43, 150.0, lavanov(EVA), Partial MP with southward flow 
2019-03-30/06:01:53 - 2019-03-30/06:03:33, 175.0, lavanov(EVA), Hogh shear MP with floe reversal
2019-03-30/06:03:33 - 2019-03-30/06:05:23, 175.0, lavanov(EVA), Hogh shear MP with floe reversal
2019-03-30/09:37:53 - 2019-03-30/09:41:43, 100.0, lavanov(EVA), Two Qpar BSs 
2019-03-30/10:24:03 - 2019-03-30/10:26:03, 105.0, lavanov(EVA), Q  par BS with well developed turbulence in the MSheath 
2019-03-30/10:26:03 - 2019-03-30/10:28:03, 105.0, lavanov(EVA), Q  par BS with well developed turbulence in the MSheath 
2019-03-30/10:28:03 - 2019-03-30/10:30:13, 105.0, lavanov(EVA), Q  par BS with well developed turbulence in the MSheath 
2019-03-30/10:30:13 - 2019-03-30/10:32:13, 105.0, lavanov(EVA), Q  par BS with well developed turbulence in the MSheath 
2019-03-30/10:32:13 - 2019-03-30/10:34:13, 105.0, lavanov(EVA), Q  par BS with well developed turbulence in the MSheath 
2019-03-30/11:00:03 - 2019-03-30/11:04:53, 120.0, lavanov(EVA), HFA 
