DATETIME,FOM,ID,DISCUSSION
2017-02-20/01:12:23 - 2017-02-20/01:13:43,  15.0, jstawarz(EVA),  Magnetopause crossing. Low sheer.
2017-02-20/01:15:43 - 2017-02-20/01:17:03,  15.0, jstawarz(EVA),  Magnetopause crossing. Low sheer.
2017-02-20/04:26:43 - 2017-02-20/04:29:43,  15.0, jstawarz(EVA),  Low sheer magnetopause crossing.
2017-02-20/04:40:23 - 2017-02-20/04:41:53,  15.0, jstawarz(EVA),  Low sheer magnetopause crossing.
2017-02-20/04:43:13 - 2017-02-20/04:44:53,  15.0, jstawarz(EVA),  Low sheer magnetopause crossing.
2017-02-20/06:39:33 - 2017-02-20/06:41:03,  15.0, jstawarz(EVA),  Low sheer magnetopause crossing.
2017-02-20/06:41:53 - 2017-02-20/06:43:13,  15.0, jstawarz(EVA),  Low sheer magnetopause crossing.
2017-02-20/09:18:43 - 2017-02-20/09:20:13,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/09:20:43 - 2017-02-20/09:21:53,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer. (In and out crossing on MMS1).
2017-02-20/09:30:13 - 2017-02-20/09:30:53,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/09:32:43 - 2017-02-20/09:33:33,  10.0, jstawarz(EVA),  Partial Magnetopause crossing on MMS1.
2017-02-20/09:34:03 - 2017-02-20/09:34:33,  20.0, jstawarz(EVA), Magnetopause crossing with magnetic sheer. 
2017-02-20/10:00:33 - 2017-02-20/10:01:03,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/10:01:03 - 2017-02-20/10:01:53,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/10:03:33 - 2017-02-20/10:04:03,  20.0, jstawarz(EVA),  Full magnetopause crossing with magnetic sheer and partial crossing.
2017-02-20/10:11:23 - 2017-02-20/10:13:33,  20.0, jstawarz(EVA), Magnetopause crossing with magnetic sheer. Bifurcated current sheet.
2017-02-20/10:17:03 - 2017-02-20/10:18:23,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/10:23:33 - 2017-02-20/10:24:53,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/10:54:03 - 2017-02-20/10:55:23,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/11:05:53 - 2017-02-20/11:06:33,  10.0, jstawarz(EVA),  Partial magnetopause crossing (MMS1).
2017-02-20/11:15:43 - 2017-02-20/11:17:03,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/11:20:43 - 2017-02-20/11:23:03,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer.
2017-02-20/11:30:43 - 2017-02-20/11:31:53,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer (MMS1).
2017-02-20/11:31:53 - 2017-02-20/11:32:53,  10.0, jstawarz(EVA),  Partial magnetopause crossing with magnetic sheer (MMS4). 
2017-02-20/11:32:53 - 2017-02-20/11:34:03,  20.0, jstawarz(EVA),  Magnetopause crossing with magnetic sheer (MMS1).
