DATETIME,FOM,ID,DISCUSSION
2016-10-28/09:20:44 - 2016-10-28/09:22:14, 175.0, moka(EVA),  MP with flow reversals and high shear
2016-10-28/09:23:24 - 2016-10-28/09:25:04, 150.0, moka(EVA),  partial and full MP
2016-10-28/09:25:04 - 2016-10-28/09:25:34,  40.0, moka(EVA),  fill
2016-10-28/09:25:34 - 2016-10-28/09:26:14, 150.0, moka(EVA),  MP with low shear
2016-10-28/09:36:44 - 2016-10-28/09:37:34, 160.0, moka(EVA),  MP with high speed flows
2016-10-28/09:37:34 - 2016-10-28/09:38:24, 150.0, moka(EVA),  MP
2016-10-28/09:46:44 - 2016-10-28/09:48:04,  75.0, moka(EVA),  BL? with flow reversals
2016-10-28/10:06:14 - 2016-10-28/10:07:34,  75.0, moka(EVA),  BL with flows
2016-10-28/10:25:14 - 2016-10-28/10:25:54, 100.0, moka(EVA),  partial MP
2016-10-28/10:25:54 - 2016-10-28/10:26:34, 125.0, moka(EVA),  partial MP
2016-10-28/10:34:54 - 2016-10-28/10:37:24, 100.0, moka(EVA),  partial MP ?
2016-10-28/10:45:44 - 2016-10-28/10:46:44, 130.0, moka(EVA), partial? MP
2016-10-28/10:48:04 - 2016-10-28/10:48:54, 125.0, moka(EVA),  partial MP
2016-10-28/10:54:24 - 2016-10-28/10:55:24, 150.0, moka(EVA),  full? MP
2016-10-28/10:55:24 - 2016-10-28/10:56:14,  50.0, moka(EVA),  adjacent to MP
2016-10-28/11:00:54 - 2016-10-28/11:02:34, 100.0, moka(EVA),  partial MP
2016-10-28/11:02:34 - 2016-10-28/11:04:14, 100.0, moka(EVA),  partial MP
2016-10-28/11:07:44 - 2016-10-28/11:08:34, 100.0, moka(EVA),  partial MP
2016-10-28/11:08:34 - 2016-10-28/11:09:24,  40.0, moka(EVA),  fill
2016-10-28/11:09:24 - 2016-10-28/11:10:54, 145.0, moka(EVA),  partial (?) MP with enhanced current
2016-10-28/11:10:54 - 2016-10-28/11:11:44,  40.0, moka(EVA),  fill
2016-10-28/11:11:44 - 2016-10-28/11:13:24, 135.0, moka(EVA),  multiple partial MP with Vz jets
2016-10-28/11:13:24 - 2016-10-28/11:15:14, 135.0, moka(EVA),  multiple partial MP with Vz jets
2016-10-28/11:16:34 - 2016-10-28/11:17:24, 100.0, moka(EVA),  partial MP
2016-10-28/11:18:54 - 2016-10-28/11:20:04, 100.0, moka(EVA),  partial MP
2016-10-28/11:22:14 - 2016-10-28/11:23:24, 125.0, moka(EVA),  partial MP
2016-10-28/11:23:24 - 2016-10-28/11:24:24,  25.0, moka(EVA),  fill
2016-10-28/11:24:24 - 2016-10-28/11:25:34, 150.0, moka(EVA),  full(?) MP
2016-10-28/11:25:34 - 2016-10-28/11:27:04,  75.0, moka(EVA),  magnetosheath with moderate currents
2016-10-28/11:27:04 - 2016-10-28/11:29:04, 175.0, moka(EVA),  MP with jets
2016-10-28/12:21:54 - 2016-10-28/12:23:44, 125.0, moka(EVA),  adjacent to full MP
2016-10-28/12:23:44 - 2016-10-28/12:25:34, 175.0, moka(EVA),  relatively clean MP with high shear
2016-10-28/12:27:54 - 2016-10-28/12:29:24, 110.0, moka(EVA),  partial MP
2016-10-28/12:29:24 - 2016-10-28/12:30:54, 110.0, moka(EVA),  partial MP
2016-10-28/12:32:34 - 2016-10-28/12:33:44, 140.0, moka(EVA),  partial (full?) MP
2016-10-28/12:35:14 - 2016-10-28/12:35:54, 140.0, moka(EVA),  partial MP
2016-10-28/12:55:24 - 2016-10-28/12:56:14, 145.0, moka(EVA),  partial MP with high shear and jets
2016-10-28/12:56:14 - 2016-10-28/12:56:54, 145.0, moka(EVA),  partial MP with high shear
2016-10-28/12:58:44 - 2016-10-28/13:00:14, 125.0, moka(EVA),  partial MP
2016-10-28/13:00:14 - 2016-10-28/13:01:14, 150.0, moka(EVA),  MP
2016-10-28/13:08:04 - 2016-10-28/13:08:54, 150.0, moka(EVA),  MP
2016-10-28/13:08:54 - 2016-10-28/13:09:24,  50.0, moka(EVA),  fill
2016-10-28/13:09:24 - 2016-10-28/13:10:54, 125.0, moka(EVA),  partial MP
2016-10-28/13:14:04 - 2016-10-28/13:15:24, 150.0, moka(EVA),  MP
2016-10-28/13:21:04 - 2016-10-28/13:22:24, 125.0, moka(EVA),  partial MP
2016-10-28/13:22:24 - 2016-10-28/13:23:44, 125.0, moka(EVA),  partial MP
2016-10-28/13:36:44 - 2016-10-28/13:37:44, 150.0, moka(EVA),  MP
2016-10-28/13:37:44 - 2016-10-28/13:38:24, 100.0, moka(EVA),"  fill, currents"
2016-10-28/13:38:24 - 2016-10-28/13:40:24, 175.0, moka(EVA),  MP with high shear
2016-10-28/13:42:44 - 2016-10-28/13:44:04, 140.0, moka(EVA),  partial MP
2016-10-28/13:44:04 - 2016-10-28/13:45:34, 145.0, moka(EVA),  partial MP
2016-10-28/13:46:44 - 2016-10-28/13:48:04, 140.0, moka(EVA),  partial MP
2016-10-28/13:50:24 - 2016-10-28/13:51:14, 150.0, moka(EVA),  MP
2016-10-28/13:54:14 - 2016-10-28/13:55:34, 145.0, moka(EVA),  multiple partial MP with Vz jets
2016-10-28/13:55:34 - 2016-10-28/13:57:04, 125.0, moka(EVA),  multiple partial MP
2016-10-28/14:27:14 - 2016-10-28/14:28:54, 150.0, moka(EVA),  MP
2016-10-28/14:29:44 - 2016-10-28/14:30:34, 165.0, moka(EVA),  MP
2016-10-28/14:41:54 - 2016-10-28/14:43:54, 135.0, moka(EVA),  partial? MP
2016-10-28/14:51:54 - 2016-10-28/14:52:54, 110.0, moka(EVA),  partial MP
2016-10-28/14:53:34 - 2016-10-28/14:54:14, 110.0, moka(EVA),  partial MP
2016-10-28/14:55:24 - 2016-10-28/14:56:24, 120.0, moka(EVA),  partial MP
2016-10-28/15:01:24 - 2016-10-28/15:03:14, 150.0, moka(EVA),  partial and full ? MP
2016-10-28/15:07:04 - 2016-10-28/15:08:54, 110.0, moka(EVA),  partial MP
2016-10-28/15:08:54 - 2016-10-28/15:10:04,  40.0, moka(EVA),  fill
2016-10-28/15:10:04 - 2016-10-28/15:11:34, 110.0, moka(EVA),  partial MP
