DATETIME,FOM,ID,DISCUSSION
2018-09-12/04:19:53 - 2018-09-12/04:23:03,  89.0, rtorbert(EVA),"  strong ES waves, with current spike"
2018-09-12/05:10:43 - 2018-09-12/05:14:03,  86.0, rtorbert(EVA),  strong EC waves(whistler maybe).
2018-09-12/15:56:43 - 2018-09-12/16:01:33,  79.0, rtorbert(EVA),"  Bl crossing, "
2018-09-12/16:06:53 - 2018-09-12/16:09:43,  68.0, rtorbert(EVA),  Bl crossing
2018-09-12/16:36:43 - 2018-09-12/16:37:43,  40.0, rtorbert(EVA),  Bl crossing
2018-09-12/16:41:43 - 2018-09-12/16:43:03,  40.0, rtorbert(EVA),  Bl crossing
2018-09-12/17:01:13 - 2018-09-12/17:04:13,  61.0, rtorbert(EVA),"  Bl crossing, flow reversal"
2018-09-12/17:34:53 - 2018-09-12/17:36:53,  53.0, rtorbert(EVA),"  Bl crossing, with flow reversal"
2018-09-12/17:36:53 - 2018-09-12/17:39:03,  53.0, rtorbert(EVA),"  Bl crossing, with flow reversal"
2018-09-12/17:39:03 - 2018-09-12/17:41:03,  53.0, rtorbert(EVA),"  Bl crossing, with flow reversal"
2018-09-12/18:10:23 - 2018-09-12/18:12:53,  58.0, rtorbert(EVA),"  Bl crossings with flow reversals, E fields,"
2018-09-12/18:12:53 - 2018-09-12/18:15:23,  58.0, rtorbert(EVA),"  Bl crossings with flow reversals, E fields,"
2018-09-12/18:15:23 - 2018-09-12/18:17:43,  58.0, rtorbert(EVA),"  Bl crossings with flow reversals, E fields,"
2018-09-12/18:17:43 - 2018-09-12/18:20:13,  58.0, rtorbert(EVA),"  Bl crossings with flow reversals, E fields,"
2018-09-12/18:20:13 - 2018-09-12/18:22:43,  58.0, rtorbert(EVA),"  Bl crossings with flow reversals, E fields,"
2018-09-12/23:44:53 - 2018-09-12/23:47:13,  73.0, rtorbert(EVA),"  BL crossing, HF waves, tailward flow"
2018-09-12/23:47:13 - 2018-09-12/23:49:33,  73.0, rtorbert(EVA),"  BL crossing, HF waves, tailward flow"
2018-09-12/23:52:03 - 2018-09-12/23:55:43, 107.0, rtorbert(EVA),"  DF(?),micro-injections,"
2018-09-12/23:58:33 - 2018-09-13/00:02:53,  94.0, rtorbert(EVA),"  BL crossing, strong ES waves, -Vx"
