DATETIME,FOM,ID,DISCUSSION
2018-11-29/19:08:03 - 2018-11-29/19:10:03, 100.0, tphan(EVA),  rare Whistler with low-frequency electrostatic noise
2018-11-29/19:18:33 - 2018-11-29/19:20:43,  90.0, tphan(EVA),  rare whistler with low-frequency electrostatic noise
2018-11-29/19:24:03 - 2018-11-29/19:26:43, 100.0, tphan(EVA),  rare double upper band whistler
2018-11-29/19:41:03 - 2018-11-29/19:42:03, 100.0, tphan(EVA),"  Msph ICW wave packet coincident with enhanced whislter at 300 Hz; ICW observed in FPI trigger, cold ion component"
2018-11-29/20:38:43 - 2018-11-29/20:42:03, 160.0, tphan(EVA),  two high-shear MP crossings
2018-11-29/20:44:53 - 2018-11-29/20:47:23, 160.0, tphan(EVA),  clean high-shear MP
2018-11-29/21:32:23 - 2018-11-29/21:36:03, 150.0, tphan(EVA),  long but clean MP crossing
2018-11-29/21:37:03 - 2018-11-29/21:39:43, 160.0, tphan(EVA),  MP
2018-11-29/22:42:33 - 2018-11-29/22:45:03, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/22:45:03 - 2018-11-29/22:47:23, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/22:47:23 - 2018-11-29/22:49:53, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/22:49:53 - 2018-11-29/22:52:13, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/22:52:13 - 2018-11-29/22:54:43, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/22:54:43 - 2018-11-29/22:57:03, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/22:57:03 - 2018-11-29/22:59:33, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/22:59:33 - 2018-11-29/23:01:53, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:01:53 - 2018-11-29/23:04:23, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:04:23 - 2018-11-29/23:06:43, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:06:43 - 2018-11-29/23:09:13, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:09:13 - 2018-11-29/23:11:43, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:11:43 - 2018-11-29/23:14:03, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:14:03 - 2018-11-29/23:16:33, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:16:33 - 2018-11-29/23:18:53, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:18:53 - 2018-11-29/23:21:23, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:21:23 - 2018-11-29/23:23:43, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:23:43 - 2018-11-29/23:26:13, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:26:13 - 2018-11-29/23:28:33, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-29/23:28:33 - 2018-11-29/23:31:03, 110.0, tphan(EVA),"  long turbulent magnetosheath interval, large fluctuations in B and N and large j"
2018-11-30/00:05:43 - 2018-11-30/00:07:13, 110.0, tphan(EVA),  clean BS crossing
2018-11-30/00:07:13 - 2018-11-30/00:08:43, 110.0, tphan(EVA),  clean BS crossing
2018-11-30/00:20:43 - 2018-11-30/00:23:13, 110.0, tphan(EVA),  turbulent magnetosheath with large j and large fluctuations in B and N 
2018-11-30/00:29:33 - 2018-11-30/00:31:33, 110.0, tphan(EVA),  turbulent magnetosheath with large j and large fluctuations in B and N
2018-11-30/01:54:43 - 2018-11-30/01:56:03, 110.0, tphan(EVA), clean SW CS
2018-11-30/02:19:23 - 2018-11-30/02:20:03, 110.0, tphan(EVA),  clean SW CS
2018-11-30/03:27:03 - 2018-11-30/03:28:23, 110.0, tphan(EVA),  clean SW CS
2018-11-30/03:31:23 - 2018-11-30/03:31:43, 110.0, tphan(EVA),  clean SW CS
2018-11-30/04:38:43 - 2018-11-30/04:39:03, 110.0, tphan(EVA),  clean SW CS
