DATETIME,FOM,ID,DISCUSSION
2017-10-06/14:13:03 - 2017-10-06/14:14:43, 135.0, seriksson(EVA),  Msheath Bz CS w/ possible Vz jet
2017-10-06/14:16:43 - 2017-10-06/14:17:33, 130.0, seriksson(EVA),  Msheath Bz CS w/ enhanced diffB
2017-10-06/14:22:13 - 2017-10-06/14:23:23, 105.0, seriksson(EVA),  Msheath Bz rotation
2017-10-06/15:00:23 - 2017-10-06/15:01:13, 105.0, seriksson(EVA),  Msheath B rotation
2017-10-06/15:17:43 - 2017-10-06/15:18:23, 125.0, seriksson(EVA),  Msheath Bz CS w/ enchanced diffB
2017-10-06/15:25:23 - 2017-10-06/15:26:13, 140.0, seriksson(EVA),  Very sharp msheath Bz CS and large J
2017-10-06/15:57:03 - 2017-10-06/16:01:13, 115.0, seriksson(EVA),  Bow shock
2017-10-06/16:03:03 - 2017-10-06/16:05:33, 115.0, seriksson(EVA),  Bow shock
2017-10-06/16:33:33 - 2017-10-06/16:35:23, 120.0, seriksson(EVA),  Magnetosheath turbulence near bow shock
2017-10-06/16:35:23 - 2017-10-06/16:37:03, 120.0, seriksson(EVA),  Magnetosheath turbulence near bow shock
2017-10-06/16:37:03 - 2017-10-06/16:39:03, 120.0, seriksson(EVA),  Magnetosheath turbulence near bow shock
2017-10-06/16:39:03 - 2017-10-06/16:40:43, 120.0, seriksson(EVA),  Magnetosheath turbulence near bow shock
2017-10-06/16:40:43 - 2017-10-06/16:42:33, 120.0, seriksson(EVA),  Magnetosheath turbulence near bow shock
2017-10-06/16:58:03 - 2017-10-06/16:59:03, 120.0, seriksson(EVA),  Msheath B rotations incl deep magnetic hole
2017-10-06/16:59:03 - 2017-10-06/16:59:53, 130.0, seriksson(EVA),  Very sharp msheath Bz CS
2017-10-06/17:07:53 - 2017-10-06/17:09:23, 110.0, seriksson(EVA),"  Msheath turbulence, B rotations and magnetic holes"
2017-10-06/17:09:23 - 2017-10-06/17:10:53, 110.0, seriksson(EVA),"  Msheath turbulence, B rotations and magnetic holes"
2017-10-06/17:10:53 - 2017-10-06/17:12:33, 115.0, seriksson(EVA),  Msheath Bz current sheet and turbulence
2017-10-06/17:12:33 - 2017-10-06/17:14:13, 115.0, seriksson(EVA),  Msheath Bz current sheet and turbulence
2017-10-06/17:30:03 - 2017-10-06/17:30:33, 100.0, seriksson(EVA),  Low-shear msheath B rotation w/ density spike
2017-10-06/17:42:53 - 2017-10-06/17:43:23, 100.0, seriksson(EVA),  Low-shear msheath B rotation
2017-10-06/17:44:23 - 2017-10-06/17:45:13, 120.0, seriksson(EVA),  Msheath turbulence w/ deep magnetic depression
2017-10-06/17:56:13 - 2017-10-06/17:56:43, 110.0, seriksson(EVA),  Low-shear msheath B rotation
2017-10-06/18:11:43 - 2017-10-06/18:12:23, 145.0, seriksson(EVA),  Very strong 2.5 uA/m2 diffB at msheath Bz CS
2017-10-06/18:32:33 - 2017-10-06/18:34:33, 125.0, seriksson(EVA),"  Msheath B rotation w/ structure, deep B minimum"
2017-10-06/18:44:13 - 2017-10-06/18:45:13, 115.0, seriksson(EVA),  Msheath B rotations
2017-10-06/18:45:13 - 2017-10-06/18:46:53, 105.0, seriksson(EVA),  Msheath B rotations w/ density enhancement
2017-10-06/18:46:53 - 2017-10-06/18:47:43, 115.0, seriksson(EVA),  Msheath B rotations possibly related to bow shock
2017-10-06/19:02:53 - 2017-10-06/19:04:33, 130.0, seriksson(EVA),  Msheath Byz rotations - Vx flow increase associated w/ bow shock and a deep magnetic hole
2017-10-06/20:06:13 - 2017-10-06/20:07:53, 100.0, seriksson(EVA),  Msheath Bz rotation w/ enhanced diffB
2017-10-06/20:27:13 - 2017-10-06/20:27:43, 105.0, seriksson(EVA),  Msheath Bz rotation
2017-10-06/20:31:53 - 2017-10-06/20:32:33, 105.0, seriksson(EVA),  Msheath Bz rotation
2017-10-06/20:36:13 - 2017-10-06/20:39:23, 120.0, seriksson(EVA),  Bow shock associated msheath turbulence
2017-10-06/20:48:33 - 2017-10-06/20:51:03, 120.0, seriksson(EVA),  Bow shock associated msheath turbulence
2017-10-06/20:51:03 - 2017-10-06/20:53:23, 120.0, seriksson(EVA),  Bow shock associated msheath turbulence
2017-10-06/20:53:23 - 2017-10-06/20:55:53, 120.0, seriksson(EVA),  Bow shock associated msheath turbulence
2017-10-06/21:02:13 - 2017-10-06/21:04:03, 110.0, seriksson(EVA),  Msheath turbulence
2017-10-06/21:04:03 - 2017-10-06/21:06:03, 110.0, seriksson(EVA),  Msheath turbulence
2017-10-06/21:06:03 - 2017-10-06/21:07:53, 110.0, seriksson(EVA),  Msheath turbulence
2017-10-06/21:07:53 - 2017-10-06/21:08:53,  60.0, seriksson(EVA),  
2017-10-06/21:08:53 - 2017-10-06/21:10:23, 125.0, seriksson(EVA), Bow shock and foreshock
2017-10-06/21:10:23 - 2017-10-06/21:11:33, 125.0, seriksson(EVA), Bow shock and foreshock
2017-10-06/21:11:33 - 2017-10-06/21:14:03, 145.0, seriksson(EVA), Marginally quasi-para bow shock and foreshock region 
2017-10-06/21:14:03 - 2017-10-06/21:15:43, 135.0, seriksson(EVA), Bow shock and foreshock
2017-10-06/21:32:23 - 2017-10-06/21:35:23, 115.0, seriksson(EVA),  Bow shock and foreshock associated turbulence
2017-10-06/21:35:23 - 2017-10-06/21:36:43, 100.0, seriksson(EVA),  Bow shock and foreshock associated turbulence
2017-10-06/21:36:43 - 2017-10-06/21:39:13, 125.0, seriksson(EVA),  Bow shock and foreshock associated turbulence w/ strong diffB CS
2017-10-06/22:05:43 - 2017-10-06/22:07:33, 130.0, seriksson(EVA),  Bow shock associated turbulence w/ strong diffB
2017-10-06/22:07:33 - 2017-10-06/22:09:13, 110.0, seriksson(EVA),  Bow shock associated turbulence
2017-10-06/22:09:13 - 2017-10-06/22:11:03, 120.0, seriksson(EVA),  Bow shock associated turbulence
2017-10-06/22:11:03 - 2017-10-06/22:12:33, 100.0, seriksson(EVA),  Fill bow shock encounter
2017-10-06/22:12:33 - 2017-10-06/22:14:33, 130.0, seriksson(EVA),  Bow shock associated B rotations and backstreaming ion beam
2017-10-06/22:14:33 - 2017-10-06/22:16:33, 130.0, seriksson(EVA),  Bow shock associated B rotations and backstreaming ion beam
2017-10-06/22:16:33 - 2017-10-06/22:18:33, 130.0, seriksson(EVA),  Bow shock associated B rotations and backstreaming ion beam
2017-10-06/22:28:13 - 2017-10-06/22:30:03, 115.0, seriksson(EVA),  Bow shock associated turbulence
2017-10-06/22:32:33 - 2017-10-06/22:35:03, 120.0, seriksson(EVA), Bow shock and enhanced diffB
2017-10-06/22:52:43 - 2017-10-06/22:54:23, 120.0, seriksson(EVA), Bow shock B fluctuations w/ large diffB
2017-10-06/22:54:23 - 2017-10-06/22:56:33, 130.0, seriksson(EVA), Bow shock B fluctuations 
2017-10-06/22:56:33 - 2017-10-06/22:58:13, 125.0, seriksson(EVA), Bow shock B fluctuations 
2017-10-06/23:03:13 - 2017-10-06/23:06:53, 125.0, seriksson(EVA),  Bow shock w/ related turbulence and large diffB
2017-10-07/00:02:13 - 2017-10-07/00:02:53, 135.0, seriksson(EVA),  Msheath By CS w/ subsequent magnetic hole and enhanced diffB
2017-10-07/00:23:13 - 2017-10-07/00:24:33, 100.0, seriksson(EVA),  Deep msheath magnetic holes
2017-10-07/00:47:13 - 2017-10-07/00:47:43, 135.0, seriksson(EVA), Msheath B rotations in all 3 comps w/ large diffB 
2017-10-07/00:49:53 - 2017-10-07/00:50:23, 125.0, seriksson(EVA),  Msheath By CS w/ density increase
2017-10-07/01:44:03 - 2017-10-07/01:45:13, 125.0, seriksson(EVA),  Msheath B rotations and enhanced diffB
2017-10-07/01:50:43 - 2017-10-07/01:51:33, 120.0, seriksson(EVA),  Msheath flux rope-like bipolar Bz
2017-10-07/01:56:03 - 2017-10-07/01:56:33, 130.0, seriksson(EVA),  Msheath B rotation w/ deep B minimum
2017-10-07/01:59:13 - 2017-10-07/02:00:13, 125.0, seriksson(EVA), Near absolute msheath B=0 event w/ Bx rotations
2017-10-07/02:00:43 - 2017-10-07/02:02:43, 125.0, seriksson(EVA),  Several sharp msheath CS
2017-10-07/02:13:43 - 2017-10-07/02:14:33, 110.0, seriksson(EVA),  Msheath bifurcated Bz rotation - unclear Ex signature
2017-10-07/02:21:53 - 2017-10-07/02:23:13, 125.0, seriksson(EVA),  Bow shock associated very strong diffB
2017-10-07/02:25:13 - 2017-10-07/02:26:23, 105.0, seriksson(EVA),  Msheath B fluctuations w/ increased diffB
2017-10-07/02:51:53 - 2017-10-07/02:52:53, 120.0, seriksson(EVA),  Sharp msheath Byz CS (SoP)
2017-10-07/03:46:23 - 2017-10-07/03:47:03, 135.0, seriksson(EVA),  Msheath Bz CS w/ possible Vz jet
2017-10-07/04:17:53 - 2017-10-07/04:19:13,  80.0, seriksson(EVA),  Msheath Bz rotation - unclear Vz jet
2017-10-07/04:44:33 - 2017-10-07/04:45:33, 100.0, seriksson(EVA),  Msheath Bz rotation
2017-10-07/06:10:23 - 2017-10-07/06:10:53, 130.0, seriksson(EVA),  Bifurcated small-scale Bz CS in msheath w/ increased diffB (SoP)
2017-10-07/08:24:13 - 2017-10-07/08:24:53, 120.0, seriksson(EVA),  Low-shear msheath Bz CS
2017-10-07/08:46:03 - 2017-10-07/08:46:53, 155.0, seriksson(EVA),  Msheath Bz CS w/ Vz reconnection jet 
2017-10-07/08:54:33 - 2017-10-07/08:55:23, 150.0, seriksson(EVA),  Msheath Bz CS w/ possible Vz jet
2017-10-07/09:44:23 - 2017-10-07/09:45:13, 150.0, seriksson(EVA),  Msheath Bz CS w/ potential Vz jet
2017-10-07/13:49:53 - 2017-10-07/13:50:33, 135.0, seriksson(EVA),  Msheath Bz CS
2017-10-07/14:02:33 - 2017-10-07/14:03:43, 120.0, seriksson(EVA),  Msheath Bz CS
2017-10-07/14:16:03 - 2017-10-07/14:16:33, 115.0, seriksson(EVA),  Low-shear msheath Byz CS
2017-10-07/14:31:43 - 2017-10-07/14:32:13, 110.0, seriksson(EVA),  Msheath Bz CS
2017-10-07/15:08:03 - 2017-10-07/15:09:13, 165.0, seriksson(EVA),  Msheath Bz CS w/ Vz jet (SoP)
2017-10-07/17:52:23 - 2017-10-07/17:53:03, 130.0, seriksson(EVA),  Msheath Bz CS w/ density increase - underresolved FPI Vi
2017-10-07/18:33:03 - 2017-10-07/18:33:53, 110.0, seriksson(EVA), Msheath Bz CS - one possibly with Vz jet deflection
2017-10-07/18:43:53 - 2017-10-07/18:44:43, 110.0, seriksson(EVA),  Msheath Bz CS
2017-10-07/19:06:13 - 2017-10-07/19:07:13, 110.0, seriksson(EVA),  Sharp msheath Bz rotation
2017-10-07/19:24:33 - 2017-10-07/19:25:33, 125.0, seriksson(EVA),  Msheath Bz CS w/ flow changes
2017-10-07/20:02:13 - 2017-10-07/20:03:13, 110.0, seriksson(EVA),  Low-shear msheath CS
2017-10-07/20:08:03 - 2017-10-07/20:09:13, 125.0, seriksson(EVA),  Low-shear msheath CS w/ density increase
2017-10-07/20:47:23 - 2017-10-07/20:48:23, 150.0, seriksson(EVA),  Msheath Bz CS w/ possible Vz jet
2017-10-07/22:46:43 - 2017-10-07/22:48:13, 125.0, seriksson(EVA),  Msheath Bz CS w/ flow changes
2017-10-07/23:06:23 - 2017-10-07/23:07:33, 145.0, seriksson(EVA),  Msheath B rotation w/ density increase - possible Vz jet
2017-10-07/23:11:33 - 2017-10-07/23:12:13, 140.0, seriksson(EVA),  Msheath Bz CS w/ strong diffB
2017-10-07/23:29:23 - 2017-10-07/23:30:23, 145.0, seriksson(EVA),  Flux rope possibly connected to msphere w/ bipolar By and Bz
2017-10-07/23:55:13 - 2017-10-07/23:56:53, 140.0, seriksson(EVA),  High-shear msheath CS - possibly Vy jet?
2017-10-08/00:44:53 - 2017-10-08/00:47:13, 125.0, seriksson(EVA),  Large-scale msheath Bz current sheet w/ possible Vz jet response?
2017-10-08/01:45:33 - 2017-10-08/01:47:33, 150.0, seriksson(EVA), Msheath CS (Bx and Bz) w/ Vz jet
2017-10-08/02:39:13 - 2017-10-08/02:39:53, 115.0, seriksson(EVA),  Msheath B rotation (Bxy) w/ strong diffB and possible msphere connection
2017-10-08/02:41:03 - 2017-10-08/02:42:03, 120.0, seriksson(EVA),  Possible partial MP w/ increased plasma temperature and 200km/s Vz flow
2017-10-08/02:47:03 - 2017-10-08/02:49:13, 125.0, seriksson(EVA),  Partial MP crossings incl bifurcated By CS
2017-10-08/02:49:13 - 2017-10-08/02:50:03, 130.0, seriksson(EVA),  Very deep magnetic field depression
2017-10-08/02:50:43 - 2017-10-08/02:51:43, 145.0, seriksson(EVA),  Two very sharp Bz CS
2017-10-08/02:52:03 - 2017-10-08/02:53:03, 120.0, seriksson(EVA),  Partial MP encounter w/ Byz rotations
2017-10-08/03:10:03 - 2017-10-08/03:14:53, 170.0, seriksson(EVA),  High-shear complete MP crossing
2017-10-08/03:27:03 - 2017-10-08/03:28:53, 175.0, seriksson(EVA),  High-shear complete MP crossing
2017-10-08/03:29:43 - 2017-10-08/03:32:03, 125.0, seriksson(EVA),  Partial MP encounter w/ high-shear B rotations on either side
2017-10-08/03:42:13 - 2017-10-08/03:43:03, 125.0, seriksson(EVA),  Potential flux rope w/ strong Bz core and bipolar By
2017-10-08/03:43:13 - 2017-10-08/03:44:43, 145.0, seriksson(EVA),  High-shear partial MP crossing
2017-10-08/03:47:43 - 2017-10-08/03:49:33, 150.0, seriksson(EVA),  High-shear complete MP crossing
2017-10-08/03:49:33 - 2017-10-08/03:50:13, 115.0, seriksson(EVA),  Partial MP
2017-10-08/03:52:53 - 2017-10-08/03:53:43, 120.0, seriksson(EVA),  Partial MPs
2017-10-08/03:55:03 - 2017-10-08/03:59:43, 120.0, seriksson(EVA),  Series of partial MP crossings
2017-10-08/04:02:53 - 2017-10-08/04:05:03, 130.0, seriksson(EVA),  Partial MP
