DATETIME,FOM,ID,DISCUSSION
2017-01-09/01:19:13 - 2017-01-09/01:21:53, 180.0, fwilder(EVA), Full MP with possible jet reversal.
2017-01-09/01:59:33 - 2017-01-09/02:01:33, 175.0, fwilder(EVA), Full high shear MP crossing
2017-01-09/02:02:03 - 2017-01-09/02:04:23, 175.0, fwilder(EVA),  High shear full MP with possible jet
2017-01-09/02:04:23 - 2017-01-09/02:07:33, 175.0, fwilder(EVA),  Two full high shear MP crossings with possible jets
2017-01-09/02:15:23 - 2017-01-09/02:17:43, 175.0, fwilder(EVA), Long slow MP crossing with current sheet
2017-01-09/02:17:43 - 2017-01-09/02:20:03, 100.0, fwilder(EVA), Long slow MP crossing
2017-01-09/02:20:03 - 2017-01-09/02:22:23, 100.0, fwilder(EVA), Long slow MP crossing
2017-01-09/02:22:23 - 2017-01-09/02:24:53, 100.0, fwilder(EVA), Long slow MP crossing
2017-01-09/02:24:53 - 2017-01-09/02:27:13, 160.6, fwilder(EVA), Long slow MP crossing with possible jet and Bz reversal
2017-01-09/02:27:13 - 2017-01-09/02:29:33, 165.0, fwilder(EVA), Long slow MP crossing plus possible jet
2017-01-09/02:52:13 - 2017-01-09/02:54:23, 115.0, fwilder(EVA),  Partial MP low shear
2017-01-09/02:54:23 - 2017-01-09/02:56:33, 115.0, fwilder(EVA),  Partial MP low shear
2017-01-09/03:07:13 - 2017-01-09/03:10:13, 175.0, fwilder(EVA), Moderate shear full MP with Vz flow reversal
2017-01-09/04:05:33 - 2017-01-09/04:06:43,  60.0, fwilder(EVA), Possible sheath flux rope
2017-01-09/07:02:13 - 2017-01-09/07:04:33, 160.0, fwilder(EVA),  Full low shear MP crossing
2017-01-09/07:04:33 - 2017-01-09/07:06:53, 160.0, fwilder(EVA),  Full low shear MP crossing
2017-01-09/07:19:13 - 2017-01-09/07:21:43, 170.0, fwilder(EVA),  Full moderate shear MP with possible jet
2017-01-09/07:21:43 - 2017-01-09/07:24:13, 170.0, fwilder(EVA),  Full moderate shear MP with possible jet
2017-01-09/08:06:53 - 2017-01-09/08:09:33, 175.0, fwilder(EVA), Full MP possibly high shear possibly jet.
2017-01-09/08:23:33 - 2017-01-09/08:25:53, 175.0, fwilder(EVA), Full MP with bz minima
2017-01-09/08:27:03 - 2017-01-09/08:28:23, 175.0, fwilder(EVA),  Full high shear MP with bz minima
2017-01-09/08:29:53 - 2017-01-09/08:31:43, 145.0, fwilder(EVA), Partial high shear MP
2017-01-09/08:31:43 - 2017-01-09/08:34:53, 125.0, fwilder(EVA),  Slower partial high shear MP
2017-01-09/08:34:53 - 2017-01-09/08:37:03, 155.0, fwilder(EVA), Full moderate shear MP
2017-01-09/08:37:03 - 2017-01-09/08:39:23, 155.0, fwilder(EVA), Full moderate shear MP
2017-01-09/08:41:43 - 2017-01-09/08:43:53, 175.0, fwilder(EVA), High shear full MP with jet
2017-01-09/08:47:23 - 2017-01-09/08:49:13, 175.0, fwilder(EVA), Chain of Full MP Crossings with high shear
2017-01-09/08:49:13 - 2017-01-09/08:50:53, 175.0, fwilder(EVA), Chain of Full MP Crossings with high shear
2017-01-09/08:50:53 - 2017-01-09/08:52:43, 175.0, fwilder(EVA), Chain of Full MP Crossings with high shear
2017-01-09/08:58:43 - 2017-01-09/09:02:23, 175.0, fwilder(EVA), Full high shear MP crossing
2017-01-09/09:10:03 - 2017-01-09/09:13:23, 155.0, fwilder(EVA), Full moderate shear MP
2017-01-09/09:14:43 - 2017-01-09/09:17:03, 165.0, fwilder(EVA), Moderate shear full MP
2017-01-09/09:17:03 - 2017-01-09/09:19:43, 120.0, fwilder(EVA),  Fill between full MP crossings
2017-01-09/09:19:43 - 2017-01-09/09:21:33, 175.0, fwilder(EVA), Full high shear crossing with jet
2017-01-09/09:21:33 - 2017-01-09/09:23:13, 175.0, fwilder(EVA), Full high shear crossing with jet
2017-01-09/09:23:13 - 2017-01-09/09:25:03, 175.0, fwilder(EVA), Full high shear crossing with jet
2017-01-09/09:41:13 - 2017-01-09/09:42:23, 110.0, fwilder(EVA), Partial MP with Jet
2017-01-09/09:43:53 - 2017-01-09/09:45:43, 175.0, fwilder(EVA), High shear full MP with possible jet reversal
2017-01-09/09:46:53 - 2017-01-09/09:49:23, 160.0, fwilder(EVA), Full MP with possible jet.
2017-01-09/10:22:23 - 2017-01-09/10:24:43, 175.0, fwilder(EVA),  High shear full MP with jet
2017-01-09/10:24:43 - 2017-01-09/10:27:13, 175.0, fwilder(EVA),  High shear full MP with jet
2017-01-09/10:31:53 - 2017-01-09/10:34:03, 145.0, fwilder(EVA), High shear partial MP with jet
2017-01-09/10:34:03 - 2017-01-09/10:36:13, 145.0, fwilder(EVA), High shear partial MP with jet
2017-01-09/10:39:43 - 2017-01-09/10:41:33, 145.0, fwilder(EVA),  High shear partial MP
2017-01-09/10:53:33 - 2017-01-09/10:57:13, 160.0, fwilder(EVA), Slow full MP with jet
2017-01-09/10:59:23 - 2017-01-09/11:02:03, 140.0, fwilder(EVA),  Ion Vz flow reversal.
2017-01-09/11:03:33 - 2017-01-09/11:06:43, 125.0, fwilder(EVA), Partial MP With Jet
2017-01-09/11:09:13 - 2017-01-09/11:11:33, 155.0, fwilder(EVA), Messy moderate shear full MP
2017-01-09/11:23:53 - 2017-01-09/11:25:43, 175.0, fwilder(EVA),  Full MP with possible jet and cold plasma
2017-01-09/11:25:43 - 2017-01-09/11:27:23, 175.0, fwilder(EVA),  Full MP with possible jet and cold plasma
2017-01-09/11:27:23 - 2017-01-09/11:29:13, 175.0, fwilder(EVA),  Full MP with possible jet and cold plasma
2017-01-09/11:30:33 - 2017-01-09/11:32:33, 150.0, fwilder(EVA), Low shear MP with Jet
2017-01-09/11:32:33 - 2017-01-09/11:34:33, 150.0, fwilder(EVA), Low shear MP with Jet
2017-01-09/11:34:33 - 2017-01-09/11:36:33, 150.0, fwilder(EVA), Low shear MP with Jet
2017-01-09/11:36:33 - 2017-01-09/11:38:33, 150.0, fwilder(EVA), Low shear MP with Jet
2017-01-09/12:47:13 - 2017-01-09/12:49:23, 150.0, fwilder(EVA), Full MP moderate shear with some jet
2017-01-09/12:49:23 - 2017-01-09/12:51:43, 150.0, fwilder(EVA), Full MP moderate shear with some jet
2017-01-09/13:00:33 - 2017-01-09/13:02:23, 175.0, fwilder(EVA), High shear full MP with B minima
2017-01-09/13:03:53 - 2017-01-09/13:05:33, 175.0, fwilder(EVA),  Two high shear full MPs with cold plasma
2017-01-09/13:05:33 - 2017-01-09/13:07:13, 175.0, fwilder(EVA),  Two high shear full MPs with cold plasma
2017-01-09/13:40:23 - 2017-01-09/13:43:53, 135.0, fwilder(EVA), Partial MP with jet reversal
2017-01-09/13:45:23 - 2017-01-09/13:48:43, 175.0, fwilder(EVA),  High shear full MP with possible jet reversal
