DATETIME,FOM,ID,DISCUSSION
2018-08-03/21:38:43 - 2018-08-03/21:40:43,   0.2, ABS,  
2018-08-04/02:07:53 - 2018-08-04/02:10:13,  80.0, makhavantafti(EVA)," PSBL crossing, enhanced flow, strong J"
2018-08-04/02:10:13 - 2018-08-04/02:12:43,  80.0, makhavantafti(EVA)," PSBL crossing, enhanced flow, strong J"
2018-08-04/02:12:43 - 2018-08-04/02:15:03,  80.0, makhavantafti(EVA)," PSBL crossing, enhanced flow, strong J"
2018-08-04/02:41:23 - 2018-08-04/02:43:53,  80.0, makhavantafti(EVA),"  PSBL crossing, strong J"
2018-08-04/02:43:53 - 2018-08-04/02:46:13,  80.0, makhavantafti(EVA),"  PSBL crossing, strong J"
2018-08-04/02:46:13 - 2018-08-04/02:48:43,  80.0, makhavantafti(EVA),"  PSBL crossing, strong J"
2018-08-04/02:48:43 - 2018-08-04/02:51:13,  80.0, makhavantafti(EVA),"  PSBL crossing, strong J"
2018-08-04/03:33:13 - 2018-08-04/03:35:33,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:35:33 - 2018-08-04/03:38:03,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:38:03 - 2018-08-04/03:40:23,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:40:23 - 2018-08-04/03:42:43,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:42:43 - 2018-08-04/03:45:13,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:45:13 - 2018-08-04/03:47:33,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:47:33 - 2018-08-04/03:50:03,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:50:03 - 2018-08-04/03:52:23,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:52:23 - 2018-08-04/03:54:43,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:54:43 - 2018-08-04/03:57:13,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/03:57:13 - 2018-08-04/03:59:33,  80.0, makhavantafti(EVA),  PSBL crossings with enhanced flow and active waves
2018-08-04/09:31:43 - 2018-08-04/09:34:13,  90.0, makhavantafti(EVA),"  PSBL crossing, bipolar Bz, enhanced flow, cold and hot ions, "
2018-08-04/09:34:13 - 2018-08-04/09:36:33,  90.0, makhavantafti(EVA),"  PSBL crossing, bipolar Bz, enhanced flow, cold and hot ions, "
2018-08-04/09:36:33 - 2018-08-04/09:38:53,  90.0, makhavantafti(EVA),"  PSBL crossing, bipolar Bz, enhanced flow, cold and hot ions, "
2018-08-04/09:38:53 - 2018-08-04/09:41:13,  90.0, makhavantafti(EVA),"  PSBL crossing, bipolar Bz, enhanced flow, cold and hot ions, "
2018-08-04/09:41:13 - 2018-08-04/09:43:43,  90.0, makhavantafti(EVA),"  PSBL crossing, bipolar Bz, enhanced flow, cold and hot ions, "
