DATETIME,FOM,ID,DISCUSSION
2016-09-22/16:38:24 - 2016-09-22/16:40:54,   5.0, hhiroshi(EVA), flow perturbation
2016-09-22/20:07:14 - 2016-09-22/20:09:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:09:44 - 2016-09-22/20:12:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:12:04 - 2016-09-22/20:14:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:14:34 - 2016-09-22/20:16:54,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:16:54 - 2016-09-22/20:19:24,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:19:24 - 2016-09-22/20:21:54,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:21:54 - 2016-09-22/20:24:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:24:14 - 2016-09-22/20:26:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:26:44 - 2016-09-22/20:29:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:29:04 - 2016-09-22/20:31:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:31:34 - 2016-09-22/20:34:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:34:04 - 2016-09-22/20:36:24,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:36:24 - 2016-09-22/20:38:54,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:38:54 - 2016-09-22/20:41:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:43:44 - 2016-09-22/20:46:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:46:14 - 2016-09-22/20:48:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:48:34 - 2016-09-22/20:51:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:55:54 - 2016-09-22/20:58:24,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/20:58:24 - 2016-09-22/21:00:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/21:00:44 - 2016-09-22/21:03:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/21:03:14 - 2016-09-22/21:05:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/21:05:34 - 2016-09-22/21:08:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:41:14 - 2016-09-22/22:43:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:43:44 - 2016-09-22/22:46:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:46:14 - 2016-09-22/22:48:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:48:44 - 2016-09-22/22:51:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:51:14 - 2016-09-22/22:53:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:53:44 - 2016-09-22/22:56:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:56:14 - 2016-09-22/22:58:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/22:58:44 - 2016-09-22/23:01:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:01:14 - 2016-09-22/23:03:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:03:44 - 2016-09-22/23:06:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:06:04 - 2016-09-22/23:08:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:08:34 - 2016-09-22/23:11:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:11:04 - 2016-09-22/23:13:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:13:34 - 2016-09-22/23:16:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:16:04 - 2016-09-22/23:18:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:18:34 - 2016-09-22/23:21:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:21:04 - 2016-09-22/23:23:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:23:34 - 2016-09-22/23:26:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:26:04 - 2016-09-22/23:28:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-22/23:28:34 - 2016-09-22/23:31:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:33:14 - 2016-09-23/00:35:34,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:35:34 - 2016-09-23/00:37:54,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:37:54 - 2016-09-23/00:40:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:40:14 - 2016-09-23/00:42:44,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:42:44 - 2016-09-23/00:45:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:45:04 - 2016-09-23/00:47:24,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:57:44 - 2016-09-23/00:59:54,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/00:59:54 - 2016-09-23/01:02:04,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/01:02:04 - 2016-09-23/01:04:14,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/01:04:14 - 2016-09-23/01:06:24,   5.0, hhiroshi(EVA), ULF waves
2016-09-23/01:17:04 - 2016-09-23/01:19:14,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:19:14 - 2016-09-23/01:21:24,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:21:24 - 2016-09-23/01:23:24,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:23:24 - 2016-09-23/01:25:34,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:25:34 - 2016-09-23/01:27:44,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:27:44 - 2016-09-23/01:29:54,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:39:04 - 2016-09-23/01:41:24,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:41:24 - 2016-09-23/01:43:44,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:43:44 - 2016-09-23/01:46:04,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:46:04 - 2016-09-23/01:48:24,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:48:24 - 2016-09-23/01:50:34,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:50:34 - 2016-09-23/01:52:54,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:52:54 - 2016-09-23/01:55:14,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:55:14 - 2016-09-23/01:57:34,   5.0, hhiroshi(EVA), ULF & B waves
2016-09-23/01:57:34 - 2016-09-23/01:59:54,   5.0, hhiroshi(EVA), ULF & B waves
