DATETIME,FOM,ID,DISCUSSION
2017-11-06/22:40:03 - 2017-11-06/22:40:53, 125.0, seriksson(EVA),  Low-shear solar wind CS and possible Vz (trig) jet
2017-11-06/23:55:03 - 2017-11-06/23:55:43, 130.0, seriksson(EVA),  Low-shear solar wind CS with Vz jet (trig) at MMS2 and MMS3 - less clear MMS1 Vz and MMS4 unlikely
2017-11-07/00:32:33 - 2017-11-07/00:33:43, 165.0, seriksson(EVA), Solar wind Bz CS with Viz jet
2017-11-07/00:38:03 - 2017-11-07/00:39:43, 160.0, seriksson(EVA),  Solar wind Bz CS with Vz (trig) jet
2017-11-07/02:09:43 - 2017-11-07/02:11:03, 105.0, seriksson(EVA),  Solar wind Bz CS - no clear Vz jet (trig)
2017-11-07/02:41:13 - 2017-11-07/02:41:53, 100.0, seriksson(EVA),  Low-shear solar wind CS - unclear Viz (trig) jet
2017-11-07/02:52:33 - 2017-11-07/02:53:53, 165.0, seriksson(EVA),  Solar wind Bz CS with Viz (trig) jet and partial reentry Bz event at MMS3 only
2017-11-07/03:12:33 - 2017-11-07/03:16:33, 165.0, seriksson(EVA),  Solar wind Bz CS with wide Viz exhaust
2017-11-07/03:51:43 - 2017-11-07/03:52:43, 165.0, seriksson(EVA),  Narrow solar wind Bz CS with Viz jet (trig)
2017-11-07/04:06:03 - 2017-11-07/04:10:33, 165.0, seriksson(EVA), Likely wide solar wind Viz exhaust (trig) at solar wind Bz CS 
2017-11-07/04:22:03 - 2017-11-07/04:23:53, 160.0, seriksson(EVA),  Solar wind Bz CS with Viz jet
2017-11-07/05:40:33 - 2017-11-07/05:43:33, 155.0, seriksson(EVA),  Solar wind Viz (trig) jet at Bz CS - potentially back-to-back events
2017-11-07/06:09:43 - 2017-11-07/06:11:13, 160.0, seriksson(EVA),  Low-shear solar wind Bz CS with Viz (trig) jet
2017-11-07/06:22:33 - 2017-11-07/06:23:03, 115.0, seriksson(EVA),  Solar wind Bz CS with potential Viz jet - sharper Bz at mms124 - need Ve to confirm
2017-11-07/07:42:23 - 2017-11-07/07:42:53, 110.0, seriksson(EVA),  Solar wind CS (Bx and Bz)
2017-11-07/07:44:33 - 2017-11-07/07:45:13, 120.0, seriksson(EVA),  Narrow Bz solar wind CS
2017-11-07/07:47:43 - 2017-11-07/07:49:03, 100.0, seriksson(EVA),  Solar wind Bz CS - no ion jet
2017-11-07/07:54:23 - 2017-11-07/07:55:13, 100.0, seriksson(EVA),  Sharp low-shear Bz solar wind CS - unclear ion jet
2017-11-07/08:49:13 - 2017-11-07/08:49:43, 105.0, seriksson(EVA),  Narrow low-shear solar wind CS w/ enhanced diffB
2017-11-07/09:36:23 - 2017-11-07/09:37:53, 125.0, seriksson(EVA),  Partial entry into Viz solar wind exhaust - increased diffB
2017-11-07/09:37:53 - 2017-11-07/09:39:23,  65.0, seriksson(EVA),  Fill between main exhaust and partial entries
