DATETIME,FOM,ID,DISCUSSION
2019-07-16/12:49:53 - 2019-07-16/12:51:53,  80.0, ocontel(EVA)," HF ES waves with harmonics, JF B waves and low frequency B perturbations "
2019-07-16/12:51:53 - 2019-07-16/12:53:53,  80.0, ocontel(EVA)," HF ES waves with harmonics, JF B waves and low frequency B perturbations "
2019-07-16/12:53:53 - 2019-07-16/12:55:53,  80.0, ocontel(EVA)," HF ES waves with harmonics, JF B waves and low frequency B perturbations "
2019-07-16/12:55:53 - 2019-07-16/12:57:53,  80.0, ocontel(EVA)," HF ES waves with harmonics, JF B waves and low frequency B perturbations "
2019-07-16/13:20:53 - 2019-07-16/13:22:53,  70.0, ocontel(EVA),"  HF ES waves with harmonics, HF B waves"
2019-07-16/14:19:33 - 2019-07-16/14:21:33, 140.0, ocontel(EVA),"  Dipolarization with Vx and (ExB)x ~ 500 km/s, energetic particles, loss of 0+, large  E field +/- 20 mV/m, E and B waves"
2019-07-16/14:21:33 - 2019-07-16/14:23:43, 140.0, ocontel(EVA),"  Dipolarization with Vx and (ExB)x ~ 500 km/s, energetic particles, loss of 0+, large  E field +/- 20 mV/m, E and B waves"
2019-07-16/14:23:43 - 2019-07-16/14:25:43, 140.0, ocontel(EVA),"  Dipolarization with Vx and (ExB)x ~ 500 km/s, energetic particles, loss of 0+, large  E field +/- 20 mV/m, E and B waves"
2019-07-16/14:25:43 - 2019-07-16/14:27:53, 140.0, ocontel(EVA),"  Dipolarization with Vx and (ExB)x ~ 500 km/s, energetic particles, loss of 0+, large  E field +/- 20 mV/m, E and B waves"
2019-07-16/14:48:23 - 2019-07-16/14:50:23,  80.0, ocontel(EVA),  Possible series of flux ropes with Vx 100 km/s
2019-07-16/14:50:23 - 2019-07-16/14:52:13,  80.0, ocontel(EVA),  Possible series of flux ropes with Vx 100 km/s
2019-07-16/14:52:13 - 2019-07-16/14:54:13,  80.0, ocontel(EVA),  Possible series of flux ropes with Vx 100 km/s
2019-07-16/14:54:13 - 2019-07-16/14:56:13,  80.0, ocontel(EVA),  Possible series of flux ropes with Vx 100 km/s
2019-07-16/15:53:53 - 2019-07-16/15:55:53,  90.0, ocontel(EVA),  Outer PS oscillations
2019-07-16/15:55:53 - 2019-07-16/15:58:03,  90.0, ocontel(EVA),  Outer PS oscillations
2019-07-16/15:58:03 - 2019-07-16/16:00:03,  90.0, ocontel(EVA),  Outer PS oscillations
