DATETIME,FOM,ID,DISCUSSION
2018-06-30/19:56:23 - 2018-06-30/19:58:13,  73.0, jburch(EVA), DP front 
2018-06-30/19:58:13 - 2018-06-30/20:00:03,  73.0, jburch(EVA), DP front 
2018-06-30/20:05:03 - 2018-06-30/20:06:53,  81.0, jburch(EVA), Flow burst with Bx reversal 
2018-06-30/20:07:23 - 2018-06-30/20:08:43,  73.0, jburch(EVA), Bx reversal 
2018-06-30/20:09:23 - 2018-06-30/20:11:33,  73.0, jburch(EVA), Neutral sheet with flow oscillations 
2018-06-30/20:37:13 - 2018-06-30/20:39:33,  73.0, jburch(EVA), Neutral sheet encounter with flow oscillations 
2018-06-30/21:08:53 - 2018-06-30/21:11:13, 100.0, dozturk(EVA)," 50mV/m bi-polar electric field pulses, BBF and a weak DF, emissions extending up to fce and fcp."
2018-06-30/21:11:13 - 2018-06-30/21:13:43, 100.0, dozturk(EVA)," 50mV/m bi-polar electric field pulses, BBF and a weak DF, emissions extending up to fce and fcp."
2018-06-30/21:13:43 - 2018-06-30/21:16:03, 100.0, dozturk(EVA)," 50mV/m bi-polar electric field pulses, BBF and a weak DF, emissions extending up to fce and fcp."
2018-06-30/21:16:03 - 2018-06-30/21:18:23,  84.0, jburch(EVA), Bz reversals 
2018-06-30/21:18:33 - 2018-06-30/21:20:23,  84.0, jburch(EVA), Turbulent neutral sheet 
2018-06-30/21:20:43 - 2018-06-30/21:22:03,  84.2, jburch(EVA), Turbulent neutral sheet 
2018-06-30/21:23:13 - 2018-06-30/21:24:13,  81.0, jburch(EVA), Turbulent neutral sheet 
2018-06-30/21:55:23 - 2018-06-30/21:58:03,  84.0, jburch(EVA), Neutral sheet crossing with DP event 
2018-06-30/22:32:13 - 2018-06-30/22:34:13,  89.0, jburch(EVA), Vx flow reversal at turbulent neutral sheet 
2018-06-30/22:34:13 - 2018-06-30/22:36:23,  89.0, jburch(EVA), Vx flow reversal at turbulent neutral sheet 
2018-06-30/22:36:23 - 2018-06-30/22:38:23,  89.0, jburch(EVA), Vx flow reversal at turbulent neutral sheet 
2018-06-30/23:42:23 - 2018-06-30/23:46:13,  86.0, jburch(EVA), Vx flow burst at neutral sheet 
2018-06-30/23:59:33 - 2018-07-01/00:03:03,  76.0, jburch(EVA), Vx flow burst 
2018-07-01/01:00:43 - 2018-07-01/01:02:53,  73.0, jburch(EVA), Bursty bulk flows 
2018-07-01/01:02:53 - 2018-07-01/01:05:13,  73.0, jburch(EVA), Bursty bulk flows 
2018-07-01/01:05:13 - 2018-07-01/01:07:23,  73.0, jburch(EVA), Bursty bulk flows 
2018-07-01/12:48:33 - 2018-07-01/12:50:33,  80.0, dozturk(EVA),"  inverted V structures, upflowing ionospheric ions"
2018-07-01/12:51:33 - 2018-07-01/12:53:13,  80.0, dozturk(EVA),"  inverted V structures, upflowing ionospheric ions"
2018-07-01/12:53:13 - 2018-07-01/12:55:03,  80.0, dozturk(EVA),"  inverted V structures, upflowing ionospheric ions"
2018-07-01/12:59:13 - 2018-07-01/13:01:33,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:01:33 - 2018-07-01/13:03:53,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:03:53 - 2018-07-01/13:06:03,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:06:03 - 2018-07-01/13:08:23,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:08:23 - 2018-07-01/13:10:43,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:10:43 - 2018-07-01/13:13:03,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:13:03 - 2018-07-01/13:15:23,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:15:23 - 2018-07-01/13:17:43,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:17:43 - 2018-07-01/13:19:53,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
2018-07-01/13:19:53 - 2018-07-01/13:22:13,  94.0, jburch(EVA), Neutral sheet with strong earthward flows 
