DATETIME,FOM,ID,DISCUSSION
2016-09-27/14:28:54 - 2016-09-27/14:29:24,  70.0, nkitamura(EVA),  B minimum in boundary layer
2016-09-27/14:31:24 - 2016-09-27/14:32:34, 125.0, nkitamura(EVA),  partial MP with B minimum
2016-09-27/14:32:34 - 2016-09-27/14:33:44, 125.0, nkitamura(EVA),  partial MP with B minimum
2016-09-27/14:33:44 - 2016-09-27/14:35:04, 120.0, nkitamura(EVA),  partial MP
2016-09-27/14:35:04 - 2016-09-27/14:35:44,  30.0, nkitamura(EVA),  fill between partial MP
2016-09-27/14:35:44 - 2016-09-27/14:36:34, 125.0, nkitamura(EVA),  partial MP
2016-09-27/14:36:34 - 2016-09-27/14:37:54,  30.0, nkitamura(EVA),  fill between partial MP
2016-09-27/14:37:54 - 2016-09-27/14:40:04, 125.0, nkitamura(EVA),  partial MP with B minimum
2016-09-27/14:48:34 - 2016-09-27/14:49:44, 110.0, nkitamura(EVA),  partial MP
2016-09-27/14:49:44 - 2016-09-27/14:50:54, 108.0, nkitamura(EVA),  partial MP
2016-09-27/14:50:54 - 2016-09-27/14:52:24, 107.0, nkitamura(EVA),  partial MP
2016-09-27/14:56:24 - 2016-09-27/14:57:54, 116.0, nkitamura(EVA),  partial MP with B minimum 
2016-09-27/15:30:54 - 2016-09-27/15:31:54,  25.0, nkitamura(EVA),  boundary layer
2016-09-27/15:31:54 - 2016-09-27/15:33:54,  25.0, nkitamura(EVA),  boundary layer
2016-09-27/15:33:54 - 2016-09-27/15:35:54,  25.0, nkitamura(EVA),  boundary layer
2016-09-27/15:35:54 - 2016-09-27/15:37:54,  25.0, nkitamura(EVA),  boundary layer
2016-09-27/15:37:54 - 2016-09-27/15:39:24,  25.0, nkitamura(EVA),  boundary layer
2016-09-27/16:32:24 - 2016-09-27/16:34:04,  46.0, nkitamura(EVA),  cycrotron waves
2016-09-27/16:34:04 - 2016-09-27/16:35:04,  37.0, nkitamura(EVA),  cycrotron waves
2016-09-27/17:22:34 - 2016-09-27/17:24:44,  41.0, nkitamura(EVA),  cycrotron waves
2016-09-27/17:24:44 - 2016-09-27/17:25:34,  36.0, nkitamura(EVA),  cycrotron waves
2016-09-27/17:28:54 - 2016-09-27/17:30:34,  25.0, nkitamura(EVA),  boundary layer
2016-09-27/17:43:24 - 2016-09-27/17:44:04, 100.0, nkitamura(EVA),  partial MP
2016-09-27/17:51:04 - 2016-09-27/17:51:44, 100.0, nkitamura(EVA),  partial MP
2016-09-27/17:52:44 - 2016-09-27/17:53:34,  25.0, nkitamura(EVA),  boundary layer
