DATETIME,FOM,ID,DISCUSSION
2016-07-08/01:45:14 - 2016-07-08/01:47:14, 5.0, ocontel(EVA),  Dipolarization front with AE enhancement up to 120 nT
2016-07-08/01:57:24 - 2016-07-08/01:58:54, 5.0, ocontel(EVA),  Dipolarization front with AE enhancement up to150 nT
2016-07-08/01:58:54 - 2016-07-08/02:00:24, 5.0, ocontel(EVA),  Dipolarization front with AE enhancement up to150 nT
2016-07-08/02:34:04 - 2016-07-08/02:37:04, 10.0, ocontel(EVA),  Dipolarization front with AE enhancement and wave activity
2016-07-08/02:37:04 - 2016-07-08/02:39:34, 10.0, ocontel(EVA),  Dipolarization with AE enhancement en wave activity
2016-07-08/02:39:34 - 2016-07-08/02:42:04, 10.0, ocontel(EVA),  Dipolarization with AE enhancement en wave activity
2016-07-08/02:42:04 - 2016-07-08/02:44:34, 10.0, ocontel(EVA),  Dipolarization with AE enhancement en wave activity
2016-07-08/06:54:34 - 2016-07-08/06:56:44, 5.0, ocontel(EVA),  PSBL crossing
2016-07-08/06:56:44 - 2016-07-08/06:59:04, 5.0, ocontel(EVA),  PSBL crossing
2016-07-08/06:59:04 - 2016-07-08/07:01:14, 5.0, ocontel(EVA),  PSBL crossing
2016-07-08/07:52:44 - 2016-07-08/07:54:04, 5.0, ocontel(EVA),  Dipolarization front with AE enhancement up to 280 nT
2016-07-08/07:54:04 - 2016-07-08/07:55:34, 5.0, ocontel(EVA),  Dipolarization front with AE enhancement up to 280 nT
2016-07-08/09:26:14 - 2016-07-08/09:28:14, 10.0, ocontel(EVA),  Dipolarization with AE enhancement up to 800 nT 
2016-07-08/09:28:14 - 2016-07-08/09:30:24, 10.0, ocontel(EVA),  Dipolarization with AE enhancement up to 800 nT 
2016-07-08/09:30:24 - 2016-07-08/09:32:24, 10.0, ocontel(EVA),  Dipolarization  with AE enhancement up to 800 nT 
2016-07-08/09:32:24 - 2016-07-08/09:34:34, 10.0, ocontel(EVA),  Dipolarization with AE enhancement up to 800 nT 
2016-07-08/09:37:44 - 2016-07-08/09:39:24, 5.0, ocontel(EVA),  Dipolarization front with AE enhancement up to 800 nT
2016-07-08/09:39:24 - 2016-07-08/09:41:14, 5.0, ocontel(EVA),  Dipolarization front with AE enhancement up to 800 nT
2016-07-08/09:48:44 - 2016-07-08/09:51:04, 5.0, ocontel(EVA),  Dipolarization fronts with AE enhancement up to 800 nT
2016-07-08/09:51:04 - 2016-07-08/09:53:14, 5.0, ocontel(EVA),  Dipolarization fronts with AE enhancement up to 800 nT
2016-07-08/09:53:14 - 2016-07-08/09:55:34, 5.0, ocontel(EVA),  Dipolarization fronts with AE enhancement up to 800 nT
2016-07-08/14:12:34 - 2016-07-08/14:14:44, 10.0, ocontel(EVA),  Dipolarization front with strong wave activity
2016-07-08/14:14:44 - 2016-07-08/14:17:04, 10.0, ocontel(EVA),  Dipolarization front with strong wave activity
2016-07-08/14:19:44 - 2016-07-08/14:22:04, 5.0, ocontel(EVA),  Dipolarization front 
2016-07-08/15:21:44 - 2016-07-08/15:24:24, 5.0, ocontel(EVA),  Intense chorus waves
2016-07-08/15:50:34 - 2016-07-08/15:55:14, 5.0, ocontel(EVA),  Chorus waves
